time,pressure
2.038147100014612,86.3
2.0477530999924056,85.383
2.0577572000329383,85.1
2.067868600017391,84.716
2.0781328000011854,85.366
2.0879803000134416,86.166
2.0978599000372924,86.2
2.108144700003322,85.666
2.117863200022839,85.05
2.1278745000017807,83.633
2.1377147000166588,82.6
2.147769800038077,81.283
2.1580323000089265,80.433
2.1677350000245497,79.133
2.1778666999889538,77.733
2.1879925000248477,75.716
2.1981590000214055,73.4
2.2078919000341557,71.233
2.2181280000368133,68.733
2.228132300020661,66.05
2.237989599991124,63.8
2.247843199991621,60.966
2.2581496000057086,58.433
2.2678710999898612,55.533
2.2777058000210673,52.033
2.2879244000068866,48.45
2.298125000030268,45.1
2.307685700012371,41.583
2.3179463000269607,37.7
2.3279358000145294,34.433
2.338147900009062,31.2
2.3476788999978453,27.416
2.3579251000192016,25.466
2.367855000018608,19.75
2.378140299988445,16.149
2.3876881999894977,12.2
2.397844100021757,10.15
2.4078530000406317,6.033
2.4179301999974996,2.383
2.4277052000397816,-0.466
2.437785600021016,-2.916
2.4478384000249207,-9.5
2.458058100019116,-19.783
2.467913500033319,-40.133
2.477908800006844,-48.65
2.4878181000240147,-65.349
2.4980663000023924,-83.15
2.507918899995275,-105.65
2.5181617999915034,-126.55
2.5279943000059575,-147.033
2.5377730000182055,-163.533
2.547772200021427,-177.016
2.558000400022138,-188.066
2.5678453000145964,-194.616
2.5778451000223868,-200.15
2.588005300029181,-202.716
2.598031700006686,-204.166
2.607798899989575,-207.433
2.6177040000329725,-205.75
2.627918300044257,-200.333
2.6379553000442684,-198.85
2.6479308000416495,-195.466
2.657769899989944,-193.466
2.6679838999989443,-192.733
2.67807060002815,-188.233
2.687865799991414,-185.183
2.698189300019294,-180.833
2.7077052000095136,-176.95
2.7182283000438474,-173.116
2.7280534000019543,-170.866
2.737983400002122,-170.633
2.748161000024993,-165.633
2.7579790000454523,-163.833
2.767776100023184,-161.366
2.777760600030888,-157.966
2.787908800004516,-154.1
2.797961000003852,-149.016
2.807781999988947,-146.483
2.8177643000381067,-143.333
2.827775100013241,-142.283
2.837674300011713,-140.933
2.8477242999942973,-141.433
2.8579791000229307,-138.75
2.868080399988685,-135.6
2.878190800023731,-134.7
2.8879783000447787,-130.733
2.8981609999900684,-123.766
2.908161100000143,-114.016
2.917701500002295,-106.866
2.927976700011641,-101.9
2.9381000000284985,-100.1
2.947909900045488,-98.383
2.9581000999896787,-97.383
2.967780600010883,-96.633
2.9779772000038065,-96.233
2.988040300027933,-94.95
2.997854500019457,-95.15
3.007705399999395,-95.433
3.0177394000347704,-95.8
3.0278240999905393,-93.533
3.0379863000125624,-91.7
3.04806970001664,-89.583
3.060399400012102,-86.466
3.068767899996601,-83.333
3.078698199999053,-81.35
3.0878931999905035,-78.483
3.099035900027957,-77.9
3.1078186000231653,-76.833
3.1184532000334,-76.3
3.127995999995619,-73.933
3.1377026000409387,-72.833
3.148900100030005,-70.933
3.157804300019052,-67.683
3.1688260000082664,-66.55
3.17863550002221,-62.55
3.188680800027214,-61.133
3.198039500042796,-59.05
3.207964700006414,-57.016
3.21838239999488,-56.05
3.2279127000365406,-53.616
3.2379175000241958,-52.95
3.2481103999889456,-50.666
3.2579523000167683,-50.183
3.267693500034511,-48.333
3.2792968000285327,-47.75
3.288182799995411,-46.483
3.2980586999910884,-45.9
3.3077922000084072,-44.8
3.3177019000286236,-44.083
3.3283184000174515,-43.666
3.337697400012985,-43.116
3.347746899991762,-43.0
3.358042200037744,-42.033
3.368263600044884,-41.55
3.377862300025299,-40.033
3.3881224000360817,-39.75
3.3983753999928012,-38.1
3.4080983999883756,-37.683
3.418173999991268,-36.483
3.430039900005795,-35.366
3.4381134000141174,-33.783
3.4478923000278883,-32.983
3.4589255999890156,-32.533
3.4678600000333972,-30.9
3.47798279998824,-30.066
3.4878575000329874,-27.833
3.4982782000442967,-24.916
3.507865799998399,-20.616
3.5183622000040486,-19.483
3.5286360000027344,-16.833
3.5385243000346236,-16.149
3.547827100032009,-15.1
3.557941200037021,-14.233
3.5689277999917977,-13.766
3.5776782000320964,-13.35
3.5890867999987677,-11.933
3.5977037000120617,-8.916
3.6078107000212185,-7.633
3.618056900042575,-4.716
3.6278698000242002,-1.916
3.637984500033781,0.466
3.648007799987681,4.466
3.658247300016228,7.016
3.6679678999935277,14.666
3.678180799994152,17.183
3.6878894999972545,25.266
3.6981747000245377,28.066
3.7092205000226386,37.483
3.71990480000386,43.7
3.7283036000444554,49.8
3.737945300003048,55.95
3.748337800032459,58.833
3.757973800005857,66.266
3.769580100022722,68.266
3.7783128000446595,73.633
3.7878508000285365,75.416
3.7995844000251964,78.7
3.808506600034889,82.383
3.8179359000059776,83.283
3.828448800020851,86.033
3.8380692999926396,87.05
3.8480108000221662,87.483
3.858370400033891,88.35
3.869423700030893,89.133
3.8782313000410795,89.9
3.8881462000426836,89.783
3.8984909999999218,90.016
3.9077949000056833,90.4
3.919217300019227,89.816
3.928062700026203,90.183
3.9382400999893434,90.35
3.9479101999895647,89.966
3.9579584000166506,89.8
3.9682305000023916,89.433
3.9781304000061937,89.266
3.9883558000437915,88.5
3.9981446000165306,88.016
4.008351300028153,87.583
4.0179448000271805,87.166
4.028377500013448,86.55
4.037985900009517,85.866
4.04896640003426,85.15
4.057977800024673,84.35
4.06964970001718,83.633
4.077906200021971,81.316
4.088301500014495,80.816
4.098374599998351,79.05
4.109040100011043,78.316
4.118774900038261,77.133
4.127880899992306,76.3
4.1380763000342995,76.15
4.148066500027198,75.183
4.158050100028049,73.183
4.167634400015231,72.4
4.17813140002545,72.3
4.18805280001834,72.1
4.198250300018117,71.433
4.2087914000148885,70.816
4.2181169000105,68.833
4.2276685000397265,66.983
4.238945599994622,66.0
4.249697500024922,63.383
4.259883099992294,60.316
4.267703499994241,57.6
4.277806600031909,54.1
4.287692999991123,53.016
4.298043799994048,50.916
4.30772139999317,48.733
4.319023700023536,47.033
4.329462800000329,45.7
4.338759600010235,44.916
4.348839300044347,43.416
4.358305700006895,41.45
4.36829980002949,39.283
4.378116800042335,37.133
4.388769000011962,34.916
4.397753300028853,32.45
4.408051300037187,30.1
4.418277000018861,26.233
4.427729199989699,23.65
4.437948500039056,22.316
4.44785649998812,19.416
4.458076999988407,16.25
4.4681074999971315,11.55
4.477925700019114,8.5
4.4877949000219814,7.083
4.499300200026482,4.516
4.508187100000214,2.433
4.520068700017873,0.85
4.5286462000221945,-0.316
4.539105200034101,-1.016
4.5481941000325605,-2.3
4.5579492000397295,-5.866
4.569802100013476,-7.283
4.578058700019028,-10.916
4.588219100027345,-12.05
4.598971100000199,-14.283
4.608354700030759,-16.583
4.61858290003147,-19.116
4.628458100021817,-21.883
4.639118299994152,-24.983
4.647900600044522,-28.85
4.65959140000632,-36.383
4.668141700036358,-39.683
4.678749900020193,-50.716
4.688078000035603,-54.566
4.698588900035247,-63.216
4.708133400010411,-71.883
4.71812969999155,-88.016
4.728144799999427,-94.266
4.738126899988856,-106.95
4.748565000016242,-115.966
4.758231100044213,-125.2
4.768564300029539,-125.983
4.778099199989811,-128.883
4.788391400012188,-130.05
4.797993300016969,-133.05
4.808966600045096,-134.6
4.818450000020675,-135.15
4.829264800006058,-138.033
4.837800800043624,-136.216
4.847830300044734,-136.95
4.857901200011838,-137.033
4.867969600018114,-138.6
4.878268900036346,-139.066
4.887778000032995,-138.35
4.898983700026292,-137.4
4.907994200009853,-134.216
4.918935300025623,-132.55
4.927967199997511,-124.733
4.938299100031145,-122.266
4.948589600040577,-116.6
4.958453300001565,-113.366
4.968417500029318,-111.383
4.977828300034162,-109.35
4.988063000026159,-106.4
4.998744200041983,-102.316
5.008231799991336,-97.783
5.018009899999015,-96.783
5.027917800005525,-94.85
5.037720800028183,-92.45
5.048922899994068,-90.883
5.058013100002427,-86.45
5.068262100045104,-85.4
5.0777602000162005,-81.433
5.087968300038483,-79.133
5.098009200009983,-74.7
5.1079434000421315,-74.016
5.118192600028124,-70.016
5.128027800004929,-68.533
5.138390600041021,-65.266
5.1482233999995515,-62.9
5.157931199995801,-62.45
5.1682117999880575,-61.783
5.178913999989163,-60.433
5.1883918000385165,-60.433
5.198028400016483,-60.366
5.208148700010497,-60.066
5.217843000020366,-59.0
5.228142700041644,-57.433
5.238080200040713,-56.533
5.248000700026751,-55.983
5.258017699990887,-55.933
5.26787169999443,-55.483
5.278150900034234,-54.066
5.288148200022988,-52.916
5.297738599998411,-51.216
5.307835799991153,-50.45
5.317685600020923,-48.516
5.328018200001679,-46.7
5.337933300004806,-44.833
5.3483476000255905,-44.35
5.358184100012295,-42.533
5.367780600034166,-41.9
5.378155200043693,-40.4
5.389097200008109,-39.683
5.397761000029277,-39.166
5.40792040002998,-38.866
5.418250299990177,-37.483
5.428178700036369,-35.116
5.438553299987689,-30.416
5.448295500013046,-29.033
5.458904200000688,-26.016
5.4695792000275105,-25.3
5.477692299988121,-23.716
5.488080899987835,-23.4
5.497915300016757,-23.4
5.508264100004453,-23.566
5.5181699999957345,-23.8
5.527893299993593,-23.65
5.538687199994456,-23.383
5.5477165000047535,-22.716
5.5579926000209525,-21.95
5.568095299997367,-20.933
5.578346700000111,-19.516
5.588497999997344,-17.033
5.598070400010329,-15.316
5.607787200016901,-14.1
5.617872400034685,-13.65
5.627710200031288,-12.466
5.638121900032274,-12.083
5.647926100005861,-10.95
5.6579272000235505,-10.55
5.668001500016544,-9.833
5.678089199995156,-9.183
5.6878202999942005,-8.666
5.698593300010543,-8.166
5.707770300039556,-7.566
5.718327600043267,-7.366
5.7277782000019215,-6.733
5.7381189000443555,-6.45
5.758558500034269,-5.016
5.770348799997009,-4.383
5.7794723000261,-3.566
5.788601400039624,-3.2
5.798950100026559,-2.766
5.808687400014605,-2.583
5.818986900034361,-2.4
5.829643200035207,-1.85
5.8385537000140175,-1.7
5.848464300041087,-1.316
5.85832090000622,-1.083
5.868560900038574,-0.95
5.878568699990865,-0.616
5.889196700009052,-0.5
5.898380000027828,-0.25
5.909378700016532,-0.066
5.918724899995141,0.166
5.928552000026684,0.4
5.938558700028807,0.816
5.949611100018956,1.016
5.958912800007965,1.95
5.968716400035191,2.4
5.978448900044896,4.683
5.988527000008617,7.966
5.998519900022075,10.2
6.008725100022275,20.166
6.018555200018454,24.383
6.028504299989436,38.633
6.038584600028116,43.616
6.048512300010771,57.233
6.058338000031654,61.05
6.068305300024804,70.85
6.078648900031112,73.733
6.0887179000419565,78.533
6.098883600032423,82.3
6.1089174000080675,87.2
6.118683900043834,88.716
6.128927200043108,91.55
6.138394900015555,92.25
6.148569900018629,92.35
6.158640900044702,93.9
6.179682500020135,95.433
6.190816000045743,95.1
6.1999586000456475,92.966
6.209684500005096,91.733
6.219705900002737,86.633
6.231185000040568,84.333
6.2400965000269935,77.083
6.250364400038961,74.0
6.2601834000088274,64.066
6.27129360003164,60.333
6.279883200011682,48.85
6.290255300002173,44.95
6.299793899990618,32.433
6.3100980000454,28.616
6.319827000028454,17.616
6.3298306000069715,14.233
6.339769600017462,5.333
6.350040999997873,2.983
6.3599623999907635,-1.483
6.370575100008864,-2.7
6.380140400025994,-11.483
6.390736100031063,-15.166
6.399949100043159,-25.833
6.41071850003209,-29.383
6.419719700003043,-39.883
6.42968820000533,-43.466
6.440254500019364,-53.5
6.450139900029171,-56.716
6.4606151999905705,-64.966
6.469825900043361,-66.55
6.481457200017758,-73.866
6.4903076000045985,-77.65
6.500074500043411,-86.633
6.510235099995043,-88.95
6.520141199987847,-91.1
6.530039700039197,-97.85
6.539709700038657,-100.183
6.54975430003833,-105.666
6.560411100042984,-107.466
6.569650800025556,-109.75
6.58042110002134,-111.583
6.5899978000088595,-116.083
6.600264300010167,-115.916
6.609889000013936,-115.883
6.621613700001035,-116.85
6.630069900013041,-114.2
6.639927500043996,-115.0
6.649982400005683,-112.916
6.660167700028978,-112.4
6.6698151000309736,-108.683
6.680305999994744,-107.866
6.690582800016273,-104.9
