time,pressure,notes
0.013440800015814602,-3.0,
0.027299200010020286,-3.15,
0.03601079998770729,-1.3,
0.04606449999846518,-2.466,
0.0685249000089243,-1.8,
0.09448939998401329,-0.266,
0.09596539998892695,0.133,
0.10522520000813529,-0.3,
0.11553479998838156,-0.1,
0.12550550000742078,-0.083,
0.13570039998739958,-0.466,
0.14531320001697168,-0.133,
0.164664099982474,-0.283,
0.17568889999529347,-0.316,
0.18573939998168498,0.15,
0.19575710000935942,-0.083,
0.20842579996678978,0.0,
0.21545429999241605,0.033,
0.22599369997624308,-0.3,
0.23576890002004802,0.016,
0.2459215999697335,0.2,
0.2558914999826811,-0.066,
0.2780505999689922,0.033,
0.2998084999853745,0.016,
0.30978870001854375,-0.15,
0.3201124999905005,-0.183,
0.3318002999876626,-0.316,
0.34024519997183233,-0.466,
0.349846399971284,-0.366,
0.35973779996857047,-0.133,
0.37001419998705387,-0.083,
0.38934679998783395,-0.033,
0.4036403999780305,-0.15,
0.4138639000011608,-0.25,
0.42389420000836253,-0.383,
0.4338545000064187,-0.516,
0.4437515999889001,-0.416,
0.4538978000055067,-0.35,
0.46391039999434724,-0.166,
0.47406159999081865,-0.15,
0.49554879998322576,-0.283,
0.5064697000198066,0.05,
0.5166072999709286,0.0,
0.5263981000171043,-0.033,
0.5364749999716878,-0.066,
0.5464947000145912,-0.083,
0.556035100016743,-0.1,
0.5661065999884158,-0.116,
0.577514800010249,-0.133,
0.5861307000159286,-0.116,
0.6053878999664448,-0.083,
0.6062422000104561,-0.233,
0.6162832999834791,-0.316,
0.6288140999968164,-0.333,
0.6365145000163466,-0.133,
0.646288399992045,-0.083,
0.6563717999961227,-0.016,
0.6664946000091732,0.0,
0.6765345999738201,-0.033,
0.6861052999738604,-0.016,
0.6961441999883391,-0.016,
0.7153394999913871,0.016,
0.7339244000031613,0.15,
0.7440035999752581,0.166,
0.754224999982398,0.15,
0.7638699999661185,0.166,
0.773903599998448,-0.083,
0.7842927000019699,-0.333,
0.79440459999023,-0.733,
0.8039537000004202,-1.033,
0.8254646999994293,-1.666,
0.8362248999765143,-0.8,
0.8459422999876551,0.216,
0.856487900018692,0.983,
0.8663126999745145,2.216,
0.8759320999961346,3.766,
0.8860350999748334,5.3,
0.8961855999659747,6.433,
0.9060016999719664,7.2,
0.9160537999705411,8.016,
0.9319084999733604,8.916,
0.9361831999849528,9.916,
0.9462632000213489,10.133,
0.9563208000035957,10.6,
0.9663605999667197,11.216,
0.9764928999939002,11.766,
0.9860036000027321,12.383,
0.9961693999939598,12.683,
1.0062734999810345,12.85,
1.0161780000198632,13.216,
1.026439399982337,13.783,
1.0414308999897912,14.4,
1.04636679997202,15.483,
1.0561378999846056,15.85,
1.0664792999741621,16.683,
1.0779353000107221,17.55,
1.086340099980589,18.5,
1.096057299990207,18.75,
1.1060460999724455,19.2,
1.116493800014723,19.533,
1.126054499996826,19.916,
1.1361392000108026,20.433,
1.1552222999744117,21.25,
1.1562716999906115,22.533,
1.1659682000172324,22.716,
1.1760015999898314,22.833,
1.1860676999785937,22.85,
1.196297799993772,22.833,
1.2063801999902353,22.883,
1.2159306000103243,23.183,
1.225993699976243,23.683,
1.2361992999794893,24.316,
1.2464073000010103,25.0,
1.262206299987156,25.616,
1.2660799999721348,27.066,
1.2762900000088848,27.666,
1.2861611999687739,28.95,
1.2961925999843515,29.833,
1.3061959000187926,30.7,
1.316487199976109,31.233,
1.3260590999852866,31.466,
1.336027399986051,30.916,
1.3461048000026494,29.75,
1.356248299998697,27.916,
1.4449745999881998,25.983,
1.470155999995768,2.366,
1.4942345999879763,-0.733,
1.5039311000145972,-1.016,
1.5141451999661513,-0.633,
1.524401200003922,-0.383,
1.5339608999784105,-0.383,
1.5439953000168316,-0.483,
1.554257299983874,-0.65,
1.5743147999746725,-1.066,
1.58524549996946,-2.266,
1.5952266000094824,-2.5,
1.6049542999826372,-1.983,
1.6152831999934278,-1.766,
1.6253665999975055,-1.383,
1.6348988999961875,-0.883,
1.6449399999692105,-0.35,
1.6550649999990128,-0.283,
1.6652570000151172,0.1,
1.6830032999860123,0.016,
1.685252399998717,0.016,
1.6951701000216417,0.016,
1.7053026999928989,0.066,
1.7153953000088222,0.116,
1.7252600999781862,0.05,
1.7350353000219911,0.166,
1.7465214999974705,0.1,
1.7549276999779977,-0.016,
1.7652708999812603,-0.033,
1.7748375000082888,0.05,
1.7960107999970205,0.05,
1.8107510000118054,0.033,
1.821053399995435,-0.033,
1.8305789000005461,-0.033,
1.8406094000092708,-0.016,
1.8507774000172503,-0.016,
1.8604641999700107,-0.05,
1.8704191999859177,-0.05,
1.8805006999755278,-0.033,
1.9063910999684595,-0.033,
1.917210999992676,-0.016,
1.9272460999782197,-0.083,
1.9385495000169612,-0.15,
1.9468980999663472,-0.233,
1.95713870000327,-0.283,
1.9672175999730825,-0.233,
1.9785742000094615,-0.1,
1.9872328999917954,-0.016,
2.013647800020408,0.033,
2.0246573999756947,-0.366,
2.0345208999933675,-0.266,
2.0442732999799773,-0.25,
2.054283800011035,-0.466,
2.064349799999036,-0.683,
2.074232699989807,-1.283,
2.0843498000176623,-1.966,
2.0945153000066057,-3.15,
2.104479799978435,-3.55,
2.122751499991864,-2.983,
2.142223200004082,-2.683,
2.152319599990733,-2.033,
2.1627567000105046,-1.866,
2.1719316999660805,-0.75,
2.1819785999832675,-0.25,
2.191961499978788,-0.083,
2.201987000007648,-0.183,
2.212323700019624,0.05,
2.232405300019309,0.033,
2.2433507000096142,-0.166,
2.2529377000173554,-0.016,
2.2629926999798045,0.0,
2.2731644000159577,-0.033,
2.2832486999686807,-0.116,
2.2936551999882795,-0.016,
2.3033333999919705,0.166,
2.3129752000095323,0.266,
2.3231738000176847,0.316,
2.3404655000194907,0.016,
2.3432054999866523,0.05,
2.3533186999848112,0.116,
2.362914199999068,0.133,
2.3731464999727905,0.083,
2.383171499997843,0.016,
2.3933043999713846,0.033,
2.403441999980714,0.016,
2.413407300016843,-0.033,
2.423356599989347,-0.066,
2.4473130999831483,-0.133,
2.4578712999937125,0.05,
2.468039300001692,0.033,
2.4780764000024647,0.1,
2.4880881999852136,0.1,
2.498036900011357,0.05,
2.5081860999925993,-0.016,
2.518274799978826,-0.033,
2.5286086999694817,-0.016,
2.556379100016784,0.016,
2.5664822999970056,0.05,
2.576578799984418,0.066,
2.5864020999870263,-0.333,
2.596558500023093,-0.6,
2.6066255000187084,-0.7,
2.616643399989698,-0.683,
2.6266965999966487,-0.566,
2.636524199973792,-0.35,
2.654005500022322,-0.133,
2.656583199976012,0.016,
2.6666311000008136,0.0,
2.676374399976339,0.033,
2.686802299984265,0.033,
2.696534699993208,0.0,
2.7065597000182606,0.0,
2.7165874000056647,0.033,
2.726630399993155,0.016,
2.7364266000222415,0.066,
2.7635651999735273,0.05,
2.7743300999864005,0.066,
2.7844183999695815,0.05,
2.794572499988135,0.033,
2.804586599988397,0.0,
2.8145208000205457,0.0,
2.8244878000114113,0.033,
2.834409400005825,0.033,
2.844595099973958,0.05,
2.854234499973245,0.066,
2.872908799967263,0.1,
2.8742288000066765,0.116,
2.8842429000069387,0.1,
2.8944928999990225,0.1,
2.9045923000085168,0.083,
2.914423500013072,0.066,
2.924319999990985,0.05,
2.9345745000173338,0.05,
2.944252300017979,0.016,
2.9542828999692574,0.0,
2.98092220001854,0.033,
2.991578400018625,-0.016,
3.0015960999880917,0.0,
3.011642800003756,0.0,
3.0219431999721564,0.0,
3.031499699980486,0.0,
3.041601000004448,0.0,
3.051565899979323,0.016,
3.061719899997115,0.033,
3.0717793999938294,0.033,
3.092395099985879,0.0,
3.104895399999805,0.016,
3.1150046999682672,-0.016,
3.1252429999876767,-0.05,
3.1352639999822713,-0.016,
3.1449785999720916,0.016,
3.1552128000184894,0.033,
3.165047799993772,-0.016,
3.174788400006946,-0.033,
3.1999500999809243,-0.066,
