time,pressure,notes
37.06819540000288,0.0,
37.07813310000347,0.0,
37.08796520001488,-0.016,
37.09786780003924,-0.016,
37.117871800030116,-0.016,
37.129193200031295,-0.033,
37.1390640999889,-0.016,
37.14916390000144,-0.016,
37.15932919998886,-0.016,
37.169048900017515,-0.033,
37.178895300021395,-0.016,
37.188978100020904,-0.033,
37.19890060002217,-0.016,
37.20894909999333,-0.033,
37.22577930003172,-0.016,
37.22908710001502,-0.016,
37.23908450000454,-0.016,
37.24929310003063,-0.016,
37.25919160002377,-0.016,
37.26876490004361,-0.016,
37.27875870000571,0.0,
37.28922480001347,0.0,
37.29887330002384,0.0,
37.3089970999863,0.0,
37.31893770000897,0.0,
37.334348400007,0.0,
37.33896120003192,0.0,
37.34896520001348,0.0,
37.358903700020164,0.0,
37.36905219999608,0.0,
37.378881599986926,0.0,
37.38898370001698,0.016,
37.39913610002259,0.033,
37.40881150000496,0.016,
37.418936200032476,0.016,
37.42882670002291,0.033,
37.439245800022036,0.033,
37.44907690002583,0.033,
37.45912350004073,0.033,
37.46946520003257,0.033,
37.47906879999209,0.016,
37.48884100001305,0.016,
37.498993500019424,0.016,
37.50906820001546,0.016,
37.5189406000427,0.0,
37.52917910000542,0.0,
37.53879920003237,0.016,
37.54900840000482,0.0,
37.5591702000238,0.0,
37.56924959999742,0.0,
37.57920199999353,0.016,
37.58885170001304,0.0,
37.59890230000019,0.016,
37.60903059999691,0.016,
37.6192052999977,0.016,
37.629147200030275,0.016,
37.63916349998908,0.0,
37.649224399996456,0.0,
37.65924260002794,0.016,
37.66875000001164,0.0,
37.678950800036546,0.0,
37.689173999999184,-0.016,
37.699023800028954,0.0,
37.70889980002539,-0.016,
37.71900000004098,-0.016,
37.729109700012486,0.0,
37.73884190001991,0.0,
37.748875899997074,-0.016,
37.75929770001676,0.0,
37.768962700036354,-0.016,
37.781632099999115,0.0,
37.78884640004253,0.0,
37.79900080000516,0.0,
37.80907399998978,0.0,
37.819095199985895,0.0,
37.82916960003786,-0.016,
37.83899800002109,-0.016,
37.84889070002828,-0.016,
37.85896620003041,0.0,
37.87629670003662,-0.016,
37.87901120004244,-0.016,
37.88902010000311,0.0,
37.899021700024605,-0.016,
37.90920970001025,-0.016,
37.918964400014374,-0.016,
37.92876680003246,0.0,
37.938735000032466,0.0,
37.94919920002576,-0.016,
37.95907020004233,0.0,
37.96884799998952,0.0,
37.988896600028966,0.0,
37.99975010001799,-0.016,
38.01009009999689,0.0,
38.01976560003823,0.016,
38.029716500022914,0.0,
38.039600700023584,0.0,
38.05142070003785,-0.016,
38.05985389999114,0.0,
38.069997299986426,0.0,
38.079718800028786,0.0,
38.09505060000811,0.0,
38.0999227000284,-0.016,
38.10977030004142,-0.016,
38.11996000004001,0.0,
38.12972269998863,-0.016,
38.139689500036184,-0.016,
38.14966540003661,-0.016,
38.15971380000701,-0.016,
38.17010560003109,0.0,
38.17998270003591,-0.016,
38.18982979998691,0.0,
38.2001736999955,0.0,
38.21006650000345,-0.016,
38.22004750004271,-0.016,
38.22986319998745,-0.016,
38.23963830003049,0.0,
38.25031219999073,-0.016,
38.26008440001169,-0.116,
38.269738300004974,0.066,
38.28012030001264,-0.066,
38.290035200014245,0.033,
38.29970299999695,0.016,
38.30999259999953,0.0,
38.319862800010014,0.016,
38.32975830003852,-0.033,
38.33965390000958,0.016,
38.34973140002694,0.033,
38.359867300023325,0.033,
38.369944800040685,0.016,
38.38007850002032,0.033,
38.38985470001353,0.016,
38.39961220003897,0.033,
38.409987599996384,0.033,
38.4197492999956,0.016,
38.42993410001509,0.016,
38.43984120001551,0.016,
38.45002950000344,0.05,
38.45990300003905,0.033,
38.47000339999795,0.05,
38.479977300041355,0.0,
38.48994940001285,0.033,
38.50001090002479,0.033,
38.509899399999995,0.033,
38.519712200039066,0.033,
38.52980610000668,0.016,
38.539825699990615,0.016,
38.54980550002074,0.033,
38.559950900031254,0.016,
38.56987619999563,0.016,
38.57997240003897,0.0,
38.589871300035156,0.016,
38.599599200009834,0.0,
38.610161799995694,-0.016,
38.619713000021875,0.0,
38.636690100014675,0.0,
38.63987120002275,-0.016,
38.64992210001219,-0.016,
38.6599428000045,-0.016,
38.669783500023186,-0.016,
38.68000039999606,-0.033,
38.6898394000018,-0.033,
38.69992420001654,-0.033,
38.71007860003738,-0.033,
38.71981280000182,-0.05,
38.72982410003897,-0.033,
38.739956700010225,-0.05,
38.750065200030804,-0.05,
38.760297500004526,-0.05,
38.76995079999324,-0.05,
38.78012220002711,-0.066,
38.78975629998604,-0.05,
38.799965300015174,-0.05,
38.8101870000246,-0.066,
38.81981260003522,-0.05,
38.82987320004031,-0.066,
38.842231400019955,-0.05,
38.84968210000079,-0.033,
38.8601561000105,-0.033,
38.869790800032206,-0.016,
38.87986720004119,-0.016,
38.88959820003947,-0.016,
38.89962109999033,0.0,
38.9098551000352,-0.016,
38.91981620003935,-0.016,
38.93660000001546,0.0,
38.93969540001126,-0.016,
38.949656900018454,-0.016,
